word	start_time	end_time
right	0.25	0.43
now,	0.51	0.73
something	1.17	1.51
inside	1.55	1.97
you	2.01	2.11
wants	2.15	2.37
sugar.	2.43	2.71
maybe	3.79	4.07
it's	4.11	4.25
been	4.27	4.43
a	4.45	4.47
long	4.53	4.79
day.	4.83	5.09
maybe	6.15	6.43
someone	6.49	6.81
said	6.85	7.05
something	7.12	7.46
that	7.47	7.62
hurt,	7.66	7.92
or	8.23	8.31
maybe	8.36	8.62
nothing	8.65	8.94
happened	8.99	9.34
at	9.38	9.44
all	9.60	9.74
and	9.86	9.94
the	9.96	10.04
sadness	10.08	10.54
just	10.62	10.82
arrived	10.88	11.24
on	11.32	11.38
its	11.44	11.54
own.	11.66	11.82
you	12.84	13.00
open	13.10	13.32
the	13.34	13.42
cabinet.	13.46	13.92
you	14.94	15.10
stand	15.14	15.42
in	15.46	15.54
front	15.56	15.74
of	15.78	15.82
the	15.86	15.94
vending	15.98	16.28
machine	16.32	16.64
at	16.68	16.74
work,	16.78	17.06
the	17.38	17.50
blue	17.54	17.74
light	17.80	18.00
buzzing	18.06	18.38
over	18.46	18.62
rows	18.70	18.96
of	19.00	19.06
chocolate	19.12	19.52
and	19.56	19.66
gum.	19.70	19.96
your	20.98	21.16
hand	21.20	21.44
reaches	21.50	21.86
before	21.92	22.24
your	22.26	22.40
mind	22.44	22.68
decides	22.72	23.18
anything.	23.26	23.66
this	24.68	24.86
is	24.94	25.02
not	25.10	25.26
a	25.32	25.34
flaw.	25.40	25.76
this	26.74	26.92
is	27.00	27.08
not	27.14	27.32
weakness.	27.39	27.80
this	28.94	29.10
is	29.18	29.26
a	29.32	29.34
system	29.42	29.78
inside	29.84	30.26
your	30.28	30.40
brain	30.44	30.76
that	30.80	30.92
is	30.98	31.06
several	31.10	31.42
hundred	31.48	31.72
thousand	31.76	32.18
years	32.20	32.40
older	32.52	32.74
than	32.78	32.90
the	32.92	32.98
vending	33.04	33.32
machine	33.36	33.68
itself,	33.72	34.10
and	34.44	34.54
it	34.58	34.62
is	34.70	34.76
doing	34.80	35.02
exactly	35.10	35.54
what	35.58	35.70
it	35.72	35.76
was	35.80	35.92
built	35.96	36.16
to	36.20	36.28
do.	36.32	36.50
here	37.58	37.74
is	37.82	37.88
the	37.92	38.02
strange	38.06	38.40
part.	38.44	38.72
sugar	39.84	40.12
itself	40.19	40.56
is	40.66	40.74
not	40.80	40.97
particularly	41.02	41.62
nutritious.	41.69	42.24
it	43.39	43.45
is	43.53	43.61
almost	43.71	43.99
no	44.09	44.23
protein,	44.29	44.81
no	45.07	45.23
fat,	45.31	45.59
none	45.95	46.09
of	46.11	46.17
the	46.21	46.29
building	46.33	46.65
blocks	46.71	46.99
your	47.03	47.17
body	47.21	47.49
actually	47.63	47.95
needs	48.01	48.23
to	48.27	48.37
repair	48.41	48.73
itself.	48.79	49.15
and	50.31	50.41
yet,	50.45	50.67
when	50.91	51.03
you	51.07	51.17
are	51.23	51.33
anxious,	51.45	51.81
grieving,	52.17	52.59
exhausted,	52.91	53.53
or	53.81	53.91
simply	53.97	54.27
low,	54.33	54.57
your	54.91	55.09
brain	55.13	55.45
does	55.51	55.67
not	55.73	55.89
reach	55.97	56.19
for	56.25	56.37
protein.	56.41	56.83
it	57.96	58.04
reaches	58.12	58.48
for	58.54	58.68
sweetness.	58.74	59.20
why	60.34	60.50
would	60.54	60.68
a	60.72	60.74
system	60.82	61.18
shaped	61.28	61.56
by	61.64	61.78
millions	61.86	62.22
of	62.28	62.34
years	62.40	62.64
of	62.70	62.76
survival	62.82	63.28
pressure	63.32	63.64
prioritize	63.68	64.39
something	64.42	64.75
so	64.83	64.97
nutritionally	65.03	65.63
empty	65.75	66.01
at	66.05	66.11
the	66.15	66.25
exact	66.31	66.67
moment	66.73	67.01
your	67.03	67.15
body	67.19	67.47
should	67.51	67.67
be	67.71	67.79
asking	67.91	68.23
for	68.27	68.39
repair?	68.43	68.79
the	69.81	69.93
answer	70.05	70.33
is	70.41	70.47
not	70.53	70.69
really	70.75	71.01
about	71.07	71.29
food.	71.37	71.67
it	72.71	72.79
is	72.83	72.91
about	72.95	73.15
a	73.19	73.23
season	73.29	73.63
that	73.67	73.80
ended	73.89	74.09
roughly	74.17	74.47
12,000	74.50	75.28
years	75.30	75.52
ago	75.58	75.78
and	76.22	76.32
a	76.38	76.40
signal	76.48	76.80
your	76.82	76.96
brain	76.98	77.30
has	77.34	77.50
never	77.56	77.78
stopped	77.84	78.14
listening	78.20	78.54
for.	78.60	78.78
before	79.89	80.21
the	80.27	80.41
revending	80.49	80.87
machines,	80.89	81.37
before	81.75	82.05
there	82.09	82.23
was	82.25	82.35
agriculture,	82.45	83.05
before	83.41	83.71
there	83.73	83.87
was	83.91	84.01
anything	84.09	84.41
resembling	84.47	84.95
a	85.01	85.05
kitchen,	85.09	85.45
there	85.79	85.93
was	85.97	86.07
