word	start_time	end_time
it	0.23	0.29
is	0.35	0.43
247	0.77	1.41
in	1.43	1.49
the	1.53	1.61
morning,	1.65	1.97
and	2.23	2.33
you	2.37	2.49
are	2.57	2.67
awake.	2.73	3.05
not	4.15	4.33
from	4.37	4.53
a	4.57	4.63
nightmare.	4.69	5.15
not	6.21	6.39
from	6.43	6.59
noise.	6.66	7.02
you	8.12	8.28
simply	8.34	8.66
open	8.76	9.00
your	9.04	9.18
eyes,	9.32	9.50
and	9.90	10.00
now	10.06	10.22
the	10.28	10.38
ceiling	10.44	10.82
is	10.90	10.98
the	11.00	11.12
only	11.20	11.40
thing	11.46	11.66
looking	11.70	11.98
back	12.02	12.22
at	12.28	12.34
you.	12.36	12.54
you	13.56	13.72
check	13.76	13.98
your	14.02	14.14
phone.	14.18	14.52
you	15.54	15.66
do	15.70	15.84
the	15.88	15.96
math	16.00	16.28
on	16.36	16.44
how	16.50	16.62
many	16.66	16.86
hours	16.92	17.24
of	17.30	17.38
sleep	17.44	17.70
remain,	17.74	18.12
and	18.44	18.54
the	18.56	18.62
number	18.68	18.90
tightens	18.94	19.32
something	19.36	19.68
in	19.70	19.76
your	19.80	19.92
chest.	19.96	20.32
this	21.39	21.57
happens	21.63	22.01
to	22.05	22.13
you	22.17	22.29
more	22.33	22.51
often	22.61	22.89
than	22.91	23.05
you	23.07	23.21
admit	23.27	23.53
out	23.59	23.71
loud.	23.77	24.09
you	25.11	25.27
call	25.31	25.51
it	25.55	25.63
insomnia.	25.67	26.27
you	27.27	27.43
blame	27.47	27.71
your	27.73	27.87
phone,	27.91	28.25
your	28.51	28.67
job,	28.73	29.09
the	29.35	29.47
second	29.51	29.83
coffee	29.87	30.21
you	30.23	30.35
didn't	30.37	30.59
need.	30.65	30.91
but	31.91	32.03
somewhere	32.15	32.49
underneath	32.55	32.93
all	33.03	33.17
of	33.19	33.25
that,	33.29	33.51
a	33.83	33.87
clock	33.93	34.19
older	34.29	34.49
than	34.53	34.67
language	34.71	35.11
is	35.15	35.23
doing	35.27	35.51
exactly	35.59	36.03
what	36.09	36.21
it	36.23	36.27
was	36.31	36.43
built	36.47	36.69
to	36.73	36.81
do.	36.85	37.03
you	38.11	38.19
were	38.23	38.37
never	38.41	38.63
supposed	38.67	39.05
to	39.07	39.15
sleep	39.19	39.45
straight	39.51	39.79
through	39.83	40.03
the	40.05	40.13
night.	40.17	40.39
almost	41.43	41.75
nobody	41.83	42.19
was.	42.23	42.51
for	43.63	43.75
most	43.81	44.05
of	44.09	44.15
human	44.19	44.45
history,	44.49	44.87
sleep	45.27	45.53
did	45.57	45.71
not	45.75	45.91
look	45.95	46.13
like	46.17	46.34
one	46.49	46.59
unbroken	46.72	47.20
block,	47.23	47.55
eight	47.85	48.02
hours	48.03	48.35
flat	48.44	48.70
on	48.77	48.84
your	48.88	48.99
back	49.03	49.26
until	49.31	49.55
an	49.59	49.66
alarm	49.70	49.98
decides	50.02	50.45
otherwise.	50.53	51.02
it	52.16	52.22
looked	52.26	52.48
like	52.50	52.68
two	52.76	52.94
separate	53.02	53.38
sleeps,	53.42	53.78
with	54.10	54.24
a	54.28	54.30
