sentence_id	text	start_time	end_time	image_file
S001	it is 2_47 in the morning, and you are awake.	0.23	4.15	1. It is 2_47 in the morning, and you are awake..png
S002	not from a nightmare.	4.15	6.21	2. Not from a nightmare..png
S003	not from noise.	6.21	8.12	3. Not from noise..png
S004	you simply opened your eyes, and now the ceiling is the only thing looking back at you.	8.12	9.90	4. You simply opened your eyes, and now the ceiling is the only thing looking back at you..png
S005	you check your phone.	9.90	13.56	5. You check your phone..png
S006	you do the math on how many hours of sleep remain, and the number tightens something in your chest.	13.56	15.54	6. You do the math on how many hours of sleep remain, and the number tightens something in your chest..png
S007	this happens to you more often than you admit out loud.	15.54	21.39	7. This happens to you more often than you admit out loud..png
S008	you call it insomnia.	21.39	25.11	8. You call it insomnia..png
S009	you blame your phone, your job, the second coffee you didn't need.	25.11	27.27	9. You blame your phone, your job, the second coffee you didn't need..png
S010	but somewhere underneath all of that, a clock older than language is doing exactly what it was built to do.	27.27	31.91	10. But somewhere underneath all of that, a clock older than language is doing exactly what it was built to do..png
S011	you were never supposed to sleep straight through the night.	31.91	38.11	11. You were never supposed to sleep straight through the night..png
S012	almost nobody was.	38.11	41.43	12. Almost nobody was..png
S013	for most of human history, sleep did not look like one unbroken block, eight hours flat on your back until an alarm decides otherwise.	41.43	43.63	13. For most of human history, sleep did not look like one unbroken block, eight hours flat on your back until an alarm decides otherwise..png
S014	it looked like two separate sleeps, with a stretch of quiet wakefulness sitting between them.	43.63	45.27	14. It looked like two separate sleeps, with a stretch of quiet wakefulness sitting between them..png
S015	historians did not have to dig this up from ruins.	45.27	52.16	15. Historians did not have to dig this up from ruins..png
S016	it was sitting in plain sight, written into diaries, court records, and folk tales for hundreds of years, hiding in language nobody thought to question.	52.16	57.55	16. It was sitting in plain sight, written into diaries, court records, and folk tales for hundreds of years, hiding in language nobody thought to question..png
S017	so what changed_	57.55	61.17	17. So what changed_.png
S018	and why does your body still seem to know a rhythm you never consciously learned_	61.17	70.67	18. And why does your body still seem to know a rhythm you never consciously learned_.png
S019	why two-forty-seven, and not three, or four, or five_	70.67	72.59	19. Why two-forty-seven, and not three, or four, or five_.png
S020	the hour your body lands on is suspiciously consistent.	72.59	77.21	20. The hour your body lands on is suspiciously consistent..png
S021	historically, that hour even had a name.	77.21	82.11	21. Historically, that hour even had a name..png
S022	there is a word for the gap between your first sleep ending and your second sleep beginning.	82.11	86.22	22. There is a word for the gap between your first sleep ending and your second sleep beginning..png
S023	pre-industrial europeans called it _the watch._	86.22	89.58	23. Pre-industrial Europeans called it _the watch._.png
S024	it was not wasted time.	89.58	94.80	24. It was not wasted time..png
S025	it was used, deliberately, by people who needed it.	94.80	98.36	25. It was used, deliberately, by people who needed it..png
S026	modern sleep doctors estimate that roughly a third of adults now report waking in the night at least three times a week, almost always around the same one or two hours — a compl	98.36	100.70	26. Modern sleep doctors estimate that roughly a third of adults now report waking in the night at least three times a week, almost always around the same one or two hours — a compl.png
S027	but before you find out what people once did with that hour, you need to sit with how strange this actually is.	100.70	104.69	27. But before you find out what people once did with that hour, you need to sit with how strange this actually is..png
S028	your body is still finding that hour.	104.69	113.73	28. Your body is still finding that hour..png
S029	automatically.	113.73	119.30	29. Automatically..png
S030	faithfully.	119.30	125.84	30. Faithfully..png
S031	at a time you never chose, on a night you didn't plan.	125.84	128.75	31. At a time you never chose, on a night you didn't plan..png
S032	in 2005, historian a. roger ekirch at virginia tech published a study of more than five hundred references to two-part sleep, pulled from medical texts, plays, diaries, and pers	128.75	130.51	32. In 2005, historian A. Roger Ekirch at Virginia Tech published a study of more than five hundred references to two-part sleep, pulled from medical texts, plays, diaries, and pers.png
S033	people wrote casually about waking for their _first sleep,_ doing something, then returning to their _second sleep_ before dawn.	130.51	132.08	33. People wrote casually about waking for their _first sleep,_ doing something, then returning to their _second sleep_ before dawn..png
S034	nobody explained the term.	132.08	135.90	34. Nobody explained the term..png
S035	nobody needed to.	135.90	143.74	35. Nobody needed to..png
S036	everyone already understood it.	143.74	150.00	36. Everyone already understood it..png
S037	the canterbury tales mentions it directly.	150.00	157.92	37. The Canterbury Tales mentions it directly..png
S038	so do english court depositions from the 1600s, where witnesses placed crimes _after first sleep_ the way you might casually say _after lunch._	157.92	160.32	38. So do English court depositions from the 1600s, where witnesses placed crimes _after first sleep_ the way you might casually say _after lunch._.png
S039	this was not poetic language.	160.32	162.25	39. This was not poetic language..png
S040	it was a timestamp.	162.25	164.69	40. It was a timestamp..png
S041	an ordinary hour with an ordinary name, used by ordinary people who never thought to question it.	164.69	167.99	41. An ordinary hour with an ordinary name, used by ordinary people who never thought to question it..png
S042	what happened during that hour matters more than the hour itself.	167.99	177.66	42. What happened during that hour matters more than the hour itself..png
S043	some people prayed.	177.66	180.32	43. Some people prayed..png
S044	religious manuals from the period specifically recommended the watch as the best time for quiet devotion, because the house was dark, the children were asleep, and the mind was	180.32	182.40	44. Religious manuals from the period specifically recommended the watch as the best time for quiet devotion, because the house was dark, the children were asleep, and the mind was .png
