word	start_time	end_time
farming	0.27	0.65
wasn't	0.69	0.97
an	1.01	1.05
invention	1.11	1.53
it	1.59	1.65
was	1.69	1.81
a	1.85	1.87
mistake.	1.91	2.37
for	3.45	3.59
300,000	3.65	4.63
years	4.67	4.94
ancestors	5.06	5.62
walked	5.70	5.98
past	6.04	6.34
wild	6.42	6.72
wheat.	6.78	7.02
hunter	8.06	8.36
gatherers	8.38	8.86
worked	8.92	9.16
15	9.44	9.66
hours	9.70	10.04
a	10.10	10.14
week	10.18	10.40
with	10.44	10.60
real	10.66	10.86
free	10.92	11.10
time.	11.14	11.44
none	12.52	12.68
of	12.72	12.76
this	12.80	12.98
was	13.02	13.16
planned	13.22	13.52
a	13.56	13.60
woman	13.64	13.96
spilled	14.00	14.37
seeds	14.43	14.74
near	14.80	14.98
a	15.03	15.06
campfire.	15.11	15.67
your	16.71	16.87
entire	16.91	17.37
world	17.43	17.69
was	17.75	17.87
built	17.95	18.19
on	18.27	18.33
a	18.37	18.41
single	18.49	18.81
accidental	18.89	19.43
spill.	19.49	19.81
and	20.83	20.93
the	20.95	21.05
people	21.09	21.39
who	21.43	21.57
spilled	21.61	21.93
it	21.97	22.03
never	22.11	22.35
even	22.43	22.63
knew.	22.69	22.89
