word	start_time	end_time
farming	0.27	0.65
wasn't	0.69	0.97
an	1.01	1.05
invention	1.11	1.53
it	1.59	1.65
was	1.69	1.81
a	1.85	1.87
mistake.	1.91	2.37
for	3.45	3.59
300,000	3.65	4.63
years	4.67	4.93
ancestors	5.05	5.62
walked	5.70	5.97
past	6.04	6.33
wild	6.42	6.71
wheat.	6.75	7.01
they	8.02	8.18
harvested	8.26	8.72
it	8.76	8.84
ground	8.88	9.14
it	9.20	9.26
ate	9.34	9.50
it	9.54	9.62
and	9.68	9.76
moved	9.80	10.04
on.	10.20	10.32
wild	11.38	11.70
grain	11.76	12.06
shatters	12.12	12.50
to	12.54	12.64
scatter	12.70	13.08
but	13.16	13.28
some	13.36	13.54
plants	13.60	13.94
had	13.98	14.10
a	14.14	14.16
mutation.	14.20	14.74
none	15.80	15.96
of	16.00	16.06
this	16.10	16.26
was	16.32	16.44
planned	16.52	16.82
it	16.86	16.90
was	16.94	17.06
an	17.10	17.16
accident.	17.26	17.68
your	18.72	18.88
entire	18.92	19.38
world	19.42	19.70
was	19.74	19.88
built	19.94	20.18
on	20.26	20.34
a	20.38	20.40
single	20.48	20.80
accidental	20.90	21.45
spill.	21.48	21.80
